3.00E+00	2.10E-02	1.03E-02
3.10E+00	2.10E-02	4.47E-03
3.20E+00	2.10E-02	-1.33E-03
3.30E+00	2.11E-02	-7.13E-03
3.40E+00	2.11E-02	-1.29E-02
3.51E+00	2.11E-02	-1.87E-02
3.61E+00	2.11E-02	-2.45E-02
3.71E+00	2.12E-02	-3.03E-02
3.81E+00	2.12E-02	-3.61E-02
3.91E+00	2.12E-02	-4.19E-02
4.01E+00	2.12E-02	-4.77E-02
4.11E+00	2.13E-02	-5.35E-02
4.21E+00	1.92E-02	-5.93E-02
4.31E+00	1.69E-02	-6.51E-02
4.41E+00	1.21E-02	-7.12E-02
4.52E+00	6.02E-03	-7.76E-02
4.62E+00	-1.05E-04	-8.41E-02
4.72E+00	-6.57E-03	-9.05E-02
4.82E+00	-1.49E-02	-9.69E-02
4.92E+00	-2.32E-02	-1.01E-01
5.02E+00	-3.16E-02	-1.04E-01
5.12E+00	-4.08E-02	-1.08E-01
5.22E+00	-5.19E-02	-1.12E-01
5.32E+00	-6.30E-02	-1.16E-01
5.42E+00	-7.41E-02	-1.19E-01
5.53E+00	-8.53E-02	-1.19E-01
5.63E+00	-9.67E-02	-1.19E-01
5.73E+00	-1.08E-01	-1.20E-01
5.83E+00	-1.20E-01	-1.20E-01
5.93E+00	-1.31E-01	-1.21E-01
6.03E+00	-1.44E-01	-1.21E-01
6.13E+00	-1.57E-01	-1.23E-01
6.23E+00	-1.71E-01	-1.24E-01
6.33E+00	-1.84E-01	-1.26E-01
6.43E+00	-1.96E-01	-1.27E-01
6.54E+00	-2.09E-01	-1.29E-01
6.64E+00	-2.21E-01	-1.31E-01
6.74E+00	-2.34E-01	-1.32E-01
6.84E+00	-2.46E-01	-1.35E-01
6.94E+00	-2.58E-01	-1.37E-01
7.04E+00	-2.69E-01	-1.39E-01
7.14E+00	-2.81E-01	-1.41E-01
7.24E+00	-2.93E-01	-1.43E-01
7.34E+00	-3.06E-01	-1.45E-01
7.44E+00	-3.18E-01	-1.51E-01
7.55E+00	-3.31E-01	-1.58E-01
7.65E+00	-3.43E-01	-1.65E-01
7.75E+00	-3.56E-01	-1.71E-01
7.85E+00	-3.69E-01	-1.78E-01
7.95E+00	-3.82E-01	-1.87E-01
8.05E+00	-3.95E-01	-1.98E-01
8.15E+00	-4.08E-01	-2.08E-01
8.25E+00	-4.21E-01	-2.18E-01
8.35E+00	-4.34E-01	-2.28E-01
8.45E+00	-4.47E-01	-2.44E-01
8.56E+00	-4.60E-01	-2.60E-01
8.66E+00	-4.72E-01	-2.75E-01
8.76E+00	-4.85E-01	-2.91E-01
8.86E+00	-4.98E-01	-3.10E-01
8.96E+00	-5.11E-01	-3.33E-01
9.06E+00	-5.22E-01	-3.55E-01
9.16E+00	-5.34E-01	-3.78E-01
9.26E+00	-5.46E-01	-4.01E-01
9.36E+00	-5.57E-01	-4.30E-01
9.46E+00	-5.69E-01	-4.59E-01
9.57E+00	-5.81E-01	-4.89E-01
9.67E+00	-5.92E-01	-5.19E-01
9.77E+00	-6.02E-01	-5.53E-01
9.87E+00	-6.11E-01	-5.87E-01
9.97E+00	-6.20E-01	-6.21E-01
1.01E+01	-6.30E-01	-6.50E-01
1.02E+01	-6.39E-01	-6.78E-01
1.03E+01	-6.47E-01	-7.06E-01
1.04E+01	-6.56E-01	-7.32E-01
1.05E+01	-6.64E-01	-7.55E-01
1.06E+01	-6.72E-01	-7.78E-01
1.07E+01	-6.81E-01	-8.02E-01
1.08E+01	-6.96E-01	-8.17E-01
1.09E+01	-7.11E-01	-8.31E-01
1.10E+01	-7.26E-01	-8.45E-01
1.11E+01	-7.43E-01	-8.49E-01
1.12E+01	-7.62E-01	-8.49E-01
1.13E+01	-7.81E-01	-8.47E-01
1.14E+01	-8.00E-01	-8.40E-01
1.15E+01	-8.19E-01	-8.34E-01
1.16E+01	-8.38E-01	-8.17E-01
1.17E+01	-8.57E-01	-8.00E-01
1.18E+01	-8.76E-01	-7.82E-01
1.19E+01	-8.93E-01	-7.63E-01
1.20E+01	-9.02E-01	-7.43E-01
1.21E+01	-9.10E-01	-7.21E-01
1.22E+01	-9.18E-01	-6.97E-01
1.23E+01	-9.27E-01	-6.73E-01
1.24E+01	-9.35E-01	-6.41E-01
1.25E+01	-9.44E-01	-6.09E-01
1.26E+01	-9.53E-01	-5.82E-01
1.27E+01	-9.61E-01	-5.59E-01
1.28E+01	-9.63E-01	-5.24E-01
1.29E+01	-9.52E-01	-4.58E-01
1.30E+01	-9.40E-01	-3.97E-01
